Date,Gas_Price,SUV_Sales,Compact_Car_Sales,Sedan_Sales,Interest_Rate,Unemployment_Rate,Consumer_Confidence,Economic_Index
2023-01-01,3.00,1200,800,950,2.5,4.0,85,100
2023-02-01,3.10,1150,820,940,2.5,4.1,84,99
2023-03-01,3.20,1100,850,930,2.6,4.2,83,98
2023-04-01,3.50,950,950,920,2.7,4.3,82,97
2023-05-01,3.80,800,1100,910,2.8,4.4,80,95
2023-06-01,4.00,700,1200,900,2.9,4.5,78,93
2023-07-01,4.20,650,1250,890,3.0,4.6,76,91
2023-08-01,4.10,700,1200,900,3.0,4.5,77,92
2023-09-01,3.90,800,1100,910,2.9,4.4,79,94
2023-10-01,3.60,950,950,920,2.8,4.3,81,96
2023-11-01,3.30,1100,850,930,2.7,4.2,83,98
2023-12-01,3.10,1150,820,940,2.6,4.1,84,99
2024-01-01,3.05,1180,810,945,2.5,4.0,85,100
2024-02-01,3.15,1140,830,935,2.6,4.1,84,99
2024-03-01,3.25,1090,860,925,2.7,4.2,82,98
2024-04-01,3.55,940,960,915,2.8,4.3,81,96
2024-05-01,3.85,790,1110,905,2.9,4.4,79,94
2024-06-01,4.05,690,1210,895,3.0,4.5,77,92
2024-07-01,4.25,640,1260,885,3.1,4.6,75,90
2024-08-01,4.15,690,1210,895,3.0,4.5,76,91
2024-09-01,3.95,790,1110,905,2.9,4.4,78,93
2024-10-01,3.65,940,960,915,2.8,4.3,80,95
2024-11-01,3.35,1090,860,925,2.7,4.2,82,97
2024-12-01,3.15,1140,830,935,2.6,4.1,83,98
